Tweets	Country	Compound	Analysis
_m_robi   Gov leaked a partial report(just Pfizer info) to the ft in the morning.Th… 	GB	-0.3182	Negative
Pfizer vaccine 3 x as effective at preventing infection from Indian variant as AZ vaccine!!!!  	GB	0.6331	Positive
What’s happeningCOVID-19·1 hour agoTwo doses of the Oxford-AstraZeneca or Pfizer-BioNTech vaccines are effectiv… 	GB	0.0	Neutral
_boy    _uk They are! Also, it's accurate but obv an average… 	GB	0.0	Neutral
So if you are looking at the efficacy of the AZ of Pfizer vaccine to combat a variant, then do not blame the varian… 	GB	-0.0936	Negative
All #Pfizer-ed up! Go #NHS! Fuck #Antivaxxers! Beat #COVID19!	GB	-0.6876	Negative
 Pfizer? Had my first dose without any issues, need to wait a bit yet for the second	GB	0.0	Neutral
Delighted to hear promising news for Pfizer &amp; AZ vac against India Covid variant but media communication of the ‘ef… 	GB	0.4588	Positive
 My father died 2 days ago, 20 days after his second Pfizer shot (he was fine after the first).  Sepsis… 	GB	-0.4215	Negative
 It was the Pfizer ❤️	GB	0.0	Neutral
 Nonsense that the EU is banning the UK because of the indian variant, because:1. Jabs are effectiv… 	GB	-0.4019	Negative
#Pfizer&amp; #AstraZeneca are effective against the #IndianVariant of the #coronavirus. Study by _uk  finds that 2… 	GB	0.4767	Positive
No it’s a lower percentage, 60% whereas the Pfizer is 88% or something. Typical I’ve had the AZ 	GB	-0.5267	Negative
UK roadmap on track as study reveals Pfizer jab DOES work against Indian variant 	GB	0.0	Neutral
      _GS _peter… 	GB	0.0	Neutral
See above  - the lower figure is against the Indian variant.  on the Pfizer! My friend got the Moderna!	GB	0.3786	Positive
If you're aged 34 or over, or if you turn 34 before 1 July 2021, you can now book your Covid-19 vaccine online or b… 	GB	0.0	Neutral
I think there is a bit of disappointment from those of us who got AZ in the UK. Worse side effects in general, high… 	GB	-0.7506	Negative
♥️♥️Covid: Pfizer and AstraZeneca jabs effective against Indian variant - study 	GB	0.4767	Positive
   6 people died on the pfizer trial, did you know that ?	GB	-0.5574	Negative
  Nanotechnology has done nothing for you, unable to spell mind properly.My personal… 	GB	0.0	Neutral
_krammer  There’s been a suggestion that AZ was rolled out later than Pfizer (true).  The… 	GB	0.0	Neutral
 I don’t feel safe enough to get on a tube, see my elderly parents or go indoors in a restaurant / pub on… 	GB	0.4404	Positive
  That's kind of what I had with Pfizer. Sore arm, tingling skin, very hot face and a kin… 	GB	-0.3612	Negative
 _uk Seriously - please double check _uk for sending out misleading info late Sat night!!THIS i… 	GB	-0.3987	Negative
 _eastwood   Yes me too. I’d happily have paid £20 or whatever it is for a… 	GB	0.743	Positive
If they didnt we would have known a month ago and there would have been world wide panic.. 🤣🤣🤣BBC News - Covid: Pfi… 	GB	0.0	Neutral
_ff No side effects for me or 5-6 people I know who got Pfizer in last week	GB	-0.296	Negative
 Had it last Tuesday. Achy arm for a day but otherwise A-OK. Nurse said 1st dose Pfizer = minor side… 	GB	0.0	Neutral
 I know that you've said the longer interval between jabs is better for Astra Zeneca. Is there an op… 	GB	0.4404	Positive
"""Two doses of the Oxford-AstraZeneca or Pfizer-BioNTech vaccines are effective against the B.1.617.2 variant, says… "	GB	0.4767	Positive
 I hadn’t heard of the moderna one before the other day. Here we either get Pfizer or AstraZeneca	GB	0.0	Neutral
 As someone who’s had 2 AstraZeneca jabs and is apparently 60% protected from the Indian variant I d… 	GB	0.4404	Positive
 The CCP also work in Pfizer and many other UK institutions	GB	0.0	Neutral
Covid: Pfizer and AstraZeneca jabs effective against Indian variant - study 	GB	0.4767	Positive
  _uk Can we ask for Pfizer or moderna as secod dose BTW?	GB	0.0	Neutral
   Two of my kids had a choice of vaccines back in late December and after res… 	GB	0.0	Neutral
 No. But they’re not giving AZ to the under 40s so it was Pfizer or Moderna I guess.	GB	-0.5	Negative
 This is now wrong. See updated data dropped last night. Astro Z only 60% effective against developing sy… 	GB	0.0	Neutral
 I had the exact same, my parents got the Pfizer one I think	GB	0.0	Neutral
 Also, dunno about this but “Public Health England (PHE) said the difference in effectiveness between… 	GB	0.0	Neutral
VIDEO: #COVID19 magnetic ‘vaccine’ challenge in Laguna Beach, #California   	GB	0.0772	Positive
 I had my first Pfizer on Monday and I have been totally floored all week, I can barely move today.  I… 	GB	0.0	Neutral
It's better than nothing, but not entirely convinced that 60% is that great &gt;&gt; Pfizer and AstraZeneca ‘highly effec… 	GB	0.6584	Positive
The CDC is investigating several dozen reports of heart inflammation in teenagers and young adults after Covid vacc… 	GB	0.0	Neutral
PHE said , “This study provides reassurance that 2 doses of AstraZeneca or Pfizer offer high levels of protection a… 	GB	0.3612	Positive
Pfizer, AstraZeneca effective against virus strain found in India | Coronavirus pandemic News | Al Jazeera… 	GB	0.4404	Positive
Anyone else’s second Pfizer vaccine wiped them out? Had mine on Tuesday and I’m still exhausted.	GB	-0.3612	Negative
"#Breaking Vaccines Minister  says young people ""should expect"" to receive either the #Pfizer or… "	GB	0.0	Neutral
   _uk Vaccines are great-need 2 doses (may need boosters) but need be vigila… 	GB	0.0	Neutral
Here is Sunday's #Coronavirus megathread, as new UK data confirm vaccines are highly effective in tackling #Covid19… 	GB	0.5256	Positive
Just got my first dose of Pfizer at St Guys - the staff couldn’t be more helpful, I was in and out in 10 minutes an… 	GB	0.4754	Positive
Waiting for the #covid vaccine. Lottery says Pfizer. Can't say I didn't want #AstraZeneca. Ah well...	GB	0.0424	Positive
  That is not in dispute.  The majority of over 70s got Pfizer.  My point was in relatio… 	GB	0.3089	Positive
Knock on wood (or touch wood, as they say here, which is weird IMO) - all the news about vaccines keeps being posit… 	GB	-0.1779	Negative
 Pfizer? I got the AZ because I love this country 	GB	0.6369	Positive
Vaccines Minister  says both #Pfizer and #AstraZeneca jabs have proven effective against the Indian va… 	GB	0.4767	Positive
‘Far from the much-touted miracle substance proclaimed by WHO, Gates, Fauci et al the Pfizer, Moderna &amp;other  mRNA… 	GB	0.5859	Positive
Got the Pfizer jab yesterday!  Left arm feels like a dead weight this AM, but no other side effects so far... 🤞… 	GB	-0.6114	Negative
 74% of study participants who had Pfizer had had their second jab more than 12 weeks ago. But half of tho… 	GB	0.0	Neutral
 __1976  They say that you can get side effects with the first AZ dose but more likely to… 	GB	0.0	Neutral
 Two doses of the Pfizer and AstraZeneca Covid vaccines are almost as effective against the Indian va… 	GB	0.4256	Positive
    _2_   … 	GB	0.0	Neutral
Two doses of the Pfizer and AstraZeneca Covid vaccines are almost as effective against the Indian variant as they a… 	GB	0.4256	Positive
Just had my first jab #Pfizer 	GB	0.0	Neutral
A double dose of the Pfizer-BioNTech or the Oxford-AstraZeneca vaccines provides a high level of protection against… 	GB	0.0	Neutral
There seems to be so much scaremongering about the Indian Variant. Have we not learned our lessons from the South A… 	GB	0.0	Neutral
Two doses of the Oxford-AstraZeneca or Pfizer-BioNTech vaccines are effective against the B.1.617.2 variant, says P… 	GB	0.4767	Positive
 COVID-19·7 minutes agoTwo doses of the Oxford-AstraZeneca or Pfizer-BioNTech vaccines are effecti… 	GB	0.0	Neutral
_Pants Had my 2 Pfizer	GB	0.0	Neutral
 Yes, however I have heard, although can't confirm, that NHS staff are more likely to have been given… 	GB	0.4019	Positive
Pfizer, AstraZeneca COVID jabs 'highly effective' against India variant, study shows  	GB	0.5256	Positive
Further data from PHE study :  Pfizer is 88% effective  &amp; Astrazeneca 60% after 2 doses against the India variant &amp;… 	GB	0.4767	Positive
A _uk study has found that two doses of either the Oxford-AstraZeneca or Pfizer-BioNTech COVID-19 vaccine are e… 	GB	0.0	Neutral
   To take a step back are you now saying that Yeadon was CEO of Pfizer?  And… 	GB	0.0	Neutral
I am worried! Wanted Pfizer but got AZ! No choice round here, but my friend in Eastbourne did have a choice!!!!! Mm… 	GB	0.471	Positive
    My partner and my mother-in-law too.  I was lucky enough to get t… 	GB	0.4215	Positive
 I think it'll be Pfizer 	GB	0.0	Neutral
 Plus most people studied had their second doses of Pfizer earlier than people got their second AZ, so t… 	GB	0.0	Neutral
 I think they are pooling 2 dosed people and at the time Pfizer 2 dosed &gt; AZ 2 dosed =&gt; weighted avera… 	GB	0.0	Neutral
    Allowing others a market share will lower the $51b revenue Pfizer… 	GB	0.0	Neutral
   _uk Don’t get why u question Dr Gurdasani’s motives. She’s totally 4 vacci… 	GB	0.0	Neutral
  this is the proof that fully vaccinated people can travel safely to EU so when are we goi… 	GB	0.4939	Positive
  There are under 8 million people over 70 in the UK There were around 11 million Pfizer dose… 	GB	0.0	Neutral
5 things for July 11: NATO summit, Pfizer, Obamacare, Thai cave rescue, sex addiction 	GB	0.5106	Positive
Freedom Day on track after “groundbreaking” study into jab effectiveness against Indian variant.#pfizer and… 	GB	0.6369	Positive
I CANNOT BELIEVE I AM AT THE BEAUTIFUL BATTERSEA ARTS CENTRE TO GET MY VACCINE!!  Pfizer me up baby!! 	GB	0.7783	Positive
  I too was alarmed, there is a caveat in the report re the timing of the 2nd jab info. Pfizer w… 	GB	-0.34	Negative
 try to get Pfizer as this covers all variant if offered another type will get booster in September	GB	0.0	Neutral
Don't worry everything is fine say govt and . They have a sub heading 'very reassuring' before the analysis… 	GB	0.7351	Positive
 I was (just) pfizer	GB	0.0	Neutral
  The first 11 million got Pfizer.	GB	0.0	Neutral
  My partner and I are both over 70 and we both got Pfizer. However many contemporari… 	GB	0.0	Neutral
Pfizer and AstraZeneca ‘highly effective’ against India Covid variantA Public Health England study has revealed th… 	GB	0.0	Neutral
Coronavirus live news: Pfizer and AstraZeneca jab offer protection against India Covid variant, PHE finds 	GB	0.0	Neutral
Call me Jabber the Hutt, because this guy’s just had a dose of some pfizzy apple pfizer! 	GB	0.0	Neutral
  _uk AZ is similar to Pfizer after two doses. It just takes a couple of weeks longer to take effect.	GB	0.0	Neutral
 She also said that that most people who got the Pfizer vaccine were health workers and older people… 	GB	0.0	Neutral
