Tweets	Country	Compound	Analysis
let some stuff sink in for a moment: 1/ The rockets created by Hamas are homemade 2/israel denies vaccine to the… 	ES	-0.2023	Negative
 let some stuff sink in for a moment: 1/ The rockets created by Hamas are homemade 2/israel denies… 	ES	0.25	Positive
 Doesn't even matter what kind of vaccine they are giving, am getting it for the view	ES	0.3239	Positive
"""Vaccinated Travelers Will Be Allowed to Visit, E.U. Says"" by Matina Stevis-Gridneff via NYT  "	ES	0.0	Neutral
"""Why So Many People Are Resisting Vaccination"" by Nina Burleigh via NYT  "	ES	0.0	Neutral
"""Can the Covid Vaccine Protect Me Against Virus Variants?"" by Tara Parker-Pope via NYT  "	ES	0.3818	Positive
_precious Lmaaaoo nah it's fine it's not even that painfull , btw what vaccine will you take i mean by which country it was made ?	ES	0.1027	Positive
   The longer the period the greater the plight of the Palestinians. The time comes… 	ES	0.3612	Positive
CDC says 600,000 kids ages 12 to 15 have received Covid vaccine shots in last week: The CDC said Tuesday that 600,0… 	ES	0.0	Neutral
 How about you send word to israel to stop the mass murdering is Palestine instead? I think that will save mo… 	ES	-0.5106	Negative
"""An abrupt U.S. change on mask guidance has set off a confusing scramble for states and cities."" by Mitch Smith, Be… "	ES	-0.2263	Negative
 Im sure you read the news articles...but the stories literally say they contracted it in the two week win… 	ES	0.3182	Positive
"""WeWork’s C.E.O. says ‘least engaged’ employees enjoy working from home."" by Bryan Pietsch via NYT… "	ES	0.4939	Positive
"""‘We have all longed for this moment’: Federal guidance says vaccinated Americans may go without masks."" by Roni Ca… "	ES	0.0	Neutral
"""Ohio Lottery to Give 5 People $1 Million Each to Encourage Vaccination"" by Neil Vigdor and Azi Paybarah via NYT… "	ES	0.5106	Positive
  Wether it’s true or not, i read possible rejections of people on airlines who have gotten a… 	ES	0.6546	Positive
I had only one thought in my mind while listening to the new j cole album: man, shut the fuck up	ES	-0.5423	Negative
_j Animals, baby killers , our time has come to fuck Israel	ES	-0.8316	Negative
It's official. It's gonna be J. Cole  playing in the car all summer. friendship ended with JVLIVS II. Now The Off S… 	ES	0.5719	Positive
 _ chkon kalk j’accepte les incrustes	ES	0.0	Neutral
 This (made by Mr. _j ) explains how i feel rn 	ES	0.0	Neutral
Yall clowning j cole...but the joke is on yall. He's living his dream. Stats don't really matter.	ES	0.4421	Positive
       … 	ES	0.0	Neutral
"""A ‘Community for All’? Not So Fast, This Wisconsin County Says."" by Reid J. Epstein via NYT  "	ES	0.0	Neutral
 _  j begayer ?	ES	0.0	Neutral
  _ Wallah j’le bz	ES	0.1027	Positive
tatted up, mini skirt, w my j's on	ES	0.0	Neutral
a big announcement in #GoogleIO #multimodelModel, finally we are ready to build kind of  J.A.R.V.I.S (watch iron ma… 	ES	0.3612	Positive
 Ih d l groupe ur mouthen ara BTS khedmen asen tribute negh sample j c po 	ES	-0.5574	Negative
 You are a babie   /j	ES	0.0	Neutral
