Tweets	Country	Compound	Analysis
Covid: Pfizer and AstraZeneca jabs effective against Indian variant - study - BBC News - 	GB	0.4767	Positive
 Not reassuring at all.AZ only 60% effective against Indian variant.  PHE released late last night.… 	GB	0.2124	Positive
Excellent news but care needed and follow the relavent guidance until all are vaccinated...Covid: Pfizer and Astr… 	GB	0.7684	Positive
     According to various sources it is 7-14 da… 	GB	0.0	Neutral
"_uk One is clearly more effective than the other though. Surely that 28% difference is not insignificant?""A s… "	GB	0.8399	Positive
At last! Part of the Pfizer club! #relief#COVID19 #CovidVaccine 	GB	0.0	Neutral
Had nothing more than a tender arm after my first  jab but my second jab was definitely different, I was exh… 	GB	0.5499	Positive
 The lag on data is later approval. Our general policy in UK is for extended dosing schedule. We went al… 	GB	0.1779	Positive
 I know it’s better than nothing but I can’t help thinking I now wish I’d have had the Pfizer as it d… 	GB	0.3845	Positive
Yay! Except that AZ is much less effective than Pfizer (tho' may get better after more than 2 weeks after second sh… 	GB	0.8555	Positive
CDC investigates dozens of reports of heart inflammation in teenagers and young adults about four days after their… 	GB	0.0	Neutral
 Thank you - so presumably the 33% figure is an average from between weeks 3 and 12 post first dose. And… 	GB	0.3612	Positive
 Thanks Meaghan. How long after dose 1 is efficacy being measured? As the VE drop off after one dose look… 	GB	0.2023	Positive
CDC investigates dozens of reports of heart inflammation in teenagers and young adults that occur four days after t… 	GB	0.0	Neutral
BBC News - Covid: Pfizer and AstraZeneca jabs effective against Indian variant - study	GB	0.4767	Positive
I attended a large centre for my vac. As I was sitting with the nurse after having my AZ jab, a call went out that… 	GB	0.0	Neutral
"The government says it's ""increasingly confident"" we're on track with the roadmap for lifting restrictions.It's a… "	GB	0.4939	Positive
When the Pfizer vaccine hits 	GB	0.0	Neutral
Vaccines effective against the Indian variant - the triple variant of concern that could cause a third pandemic. 	GB	0.4767	Positive
 Though Pfizer is likely to be better than AZ, 2 doses of either vaccine offer decent protection agains… 	GB	0.4404	Positive
So AZ only 33% effective after 1 dose and 60% after 2 doses against B. 1.617.2. Is that right? AZ needs longer to b… 	GB	0.4767	Positive
Know more about the Pfizer and AstraZeneca vaccines here:Pfizer:  	GB	0.0	Neutral
  BBC News: AZ takes longer to develop resistance than Pfizer. Scientists expect resistance… 	GB	0.0	Neutral
