Tweets	Country	Compound	Analysis
"Must be getting confused with the side effect from the ""jab"" "	GB	-0.3182	Negative
I phoned my mum to tell her I booked my covid jab and she wasn’t nearly as excited as I needed her to be like hello… 	GB	0.5994	Positive
 Smokers more than pay for their care via tobacco tax.However, you can’t refuse a NHS leg in plaste… 	GB	0.0828	Positive
Jab booked bitches 	GB	-0.5994	Negative
Mum claims she was left unable to speak after having second dose of Covid jab 	GB	0.0	Neutral
On “The Jab”: will vaccinations restart travel?-Willie Walsh of  says vaccinated people should be allowed to… 	GB	0.0	Neutral
British woman dies in Cyprus after AstraZeneca jab 	GB	0.0	Neutral
so jel of people getting a pfizer jab…GET YOUR JAB FOLKS 	GB	0.0	Neutral
Jab 2 done. Oh the relief. Not from the jab but from waiting over half an hr in the queue when I was bosting for a… 	GB	0.2617	Positive
If you live and/or work in Newham, you can get your first Pfizer dose this weekend! If you haven't booked your vacc… 	GB	0.0	Neutral
My arm is starting to hurt now after my second covid jab	GB	-0.5267	Negative
"""A short illness"". I wonder if he'd had the jab 🤔 ...?"	GB	0.0	Neutral
  We Behavioural Psychs aren’t all the same. For the record, I wholeheartedly believe that… 	GB	0.0	Neutral
Fancy a Covid jab? Here are all the FREE walk-in vaccine sites open NOW in London  The full list across London an… 	GB	0.6166	Positive
 _cara19 I believed in the honesty of the medical profession, hippocratic oath. I knew it was fast but… 	GB	0.4939	Positive
  Look man if you wanna jab yourself up with an experimental emergency use DNA altering va… 	GB	-0.3818	Negative
  There are plenty who say they don’t want the vax and are worried about it but I haven’t… 	GB	-0.1154	Negative
Told I will never ever be admitted to a certain country today without succumbing to “the jab”. From people with con… 	GB	0.2033	Positive
The ‘COVID Jab Shoulder’ thing has just kicked in.... damn	GB	-0.4019	Negative
_covid I tried and have managed to book jab 2 for exactly 8 weeks to the day from jab 1. Thanks so much for sh… 	GB	0.4404	Positive
  Rustling up a jab as we speak, checking under the sink	GB	0.0	Neutral
  Probably could! Stats all out there … and flu jab only one dose.	GB	-0.4389	Negative
      See look, you purposely misinterpret e… 	GB	0.0	Neutral
 It's like they're trying to convince boris to delay aint it 🤣You don't tell people who get the flu ja… 	GB	-0.1027	Negative
 If you are having AZ you might feel very sleepy afterwards (I did - slept the whole afternoon). I me… 	GB	0.0	Neutral
 Gosh is it really that long ago. How are you? Just got my second jab Monday we need to arrange something… 	GB	0.0	Neutral
 Resisting the urge to wear it when I get my covid jab 	GB	0.0	Neutral
_oasis Yes thanks, got there in the end and no  side effects from the jab yet 	GB	0.5267	Positive
 Same here! I was actually sweating with fear but I didn’t feel anything! The flu jab hurt more🤣 I’ve got a nasty bruise though	GB	-0.9484	Negative
 No one is forcing you to have the jab. Cuppa tea, piece of cake, feet up, fuck it 	GB	-0.6908	Negative
Might be cause the NHS is sending out letters telling people who've had a double jab to get tested again! 	GB	0.0	Neutral
 Of course. I dropped some money to Oxfam once I got my jab in the hope it would spread further.	GB	0.4404	Positive
  Possibly due to the chimpanzee kidney in the jab	GB	0.0	Neutral
Got the weekend off so a stream is coming at ya SOON!!!! (If I remember how to stream that is lol). Pals, how hav… 	GB	0.0	Neutral
 Honestly, I would be exactly the same!!!! It's not the jab that we're anxious about, it's all of the… 	GB	0.4885	Positive
Fuck me this covid jab has knocked me for 6 felt like absolute shit for 2 days 🤒	GB	-0.6808	Negative
_nargis Flu Jab - DoneAstra Zeneca 2 Shots done. 	GB	-0.3818	Negative
 GPS getting paid £12 a jab bullying patients into getting the experimental unlicensed vaccine. Fking disgraceful.	GB	-0.5994	Negative
 Tim, considering most people with two  will be over 60, how much of this could be down to not going ou… 	GB	0.0	Neutral
 I was ill with both vaccinations but less so with my 2nd jab.	GB	-0.2263	Negative
 In London. As a plumber. Who pays for van etc? Are they treated as self employed? Do they have other co… 	GB	0.0	Neutral
My ex in Brazil got her first Jab today. I am really happy for her. Apparently my 19 Yr old daughter gets hers in… 	GB	0.6115	Positive
  A friend of my niece woke up with terrible headache and blind in one eye. 111 asked i… 	GB	-0.3818	Negative
Get the jab guys you may see Wales Rugby soon ! 	GB	0.0	Neutral
 IKR it is a brilliantly created conundrum....You must have the jab to protect yourself.....there i… 	GB	0.8225	Positive
Why do those vaccinated chat shit like....Yeah had my Pfizer jab today, wonder what side effects I get.... Other… 	GB	-0.5574	Negative
For anyone who's booking their second jab at The Priory Centre - it's moving! #StNeotsHour 	GB	0.0	Neutral
__Pattinson _ I also fainted after my jab yesterday. I would also like to know how it happened.	GB	0.3612	Positive
Last week I had my second vaccine jab! For someone who is absolutely petrified of needles, I was extremely calm (bu… 	GB	-0.3595	Negative
