Tweets	Country	Compound	Analysis
If you're aged 34 or over, or if you turn 34 before 1 July 2021, you can now book your COVID-19 vaccine. For more… 	GB	0.0	Neutral
The second dose of the COVID-19 vaccine helps to provide longer-term protection.Don't delay in getting your secon… 	GB	0.5517	Positive
Opinion | Your Friend Doesn’t Want the Vaccine. What Do You Say? - The New York Times 	GB	0.5423	Positive
Jack from Bolton  is worried about what might be in the Covid 19 vaccine, but not at all worried it seems a… 	GB	-0.5267	Negative
Dating apps are encouraging users to get vaccinated with the promise of more matches  	GB	0.6908	Positive
Just got my 1st #vaccination from a lovely vaccinator. Very #grateful and very much thinking of continuing lack of… 	GB	0.3612	Positive
Thank you  _ thank you ! Vaccine is a key ‘tool’ in the battle against COVID 19. I encour… 	GB	0.4003	Positive
Jack, pictured here on his motorbike with no helmet, is worried what’s in the #vaccine He’s part of the problem, do… 	GB	-0.7269	Negative
. part of first UK Covid-19 vaccine study for pregnant women 	GB	0.0	Neutral
Will you be joining us tonight for an informal Q&amp;A session where we will be running a webcast surrounding #COVID19… 	GB	0.0	Neutral
The current rate of infection in Richmond upon Thames is 10.1 cases per 100K.105,098 people have had their first… 	GB	0.0	Neutral
 If you’re 34+, or if you turn 34 before 1 July 2021, it's time to have your #COVID19 vaccine.⚠️ To avoid disapp… 	GB	-0.296	Negative
"""The #vaccine programme is one of the most ambitious and vital ever undertaken in this country and it is important… "	GB	0.7056	Positive
If you want to learn more about the COVID-19 vaccine, tune into 's instagram live on Sunday at 7pm, w… 	GB	0.0772	Positive
If you're wondering what to do this weekend and you are 34 or over, why not spend a couple of minutes booking your… 	GB	0.0	Neutral
Abu Dhabi topped an independent survey conducted by London-based _VC which assessed the Covid-19 response… 	GB	0.0	Neutral
Join the millions already vaccinated against COVID-19. Don't delay in getting your vaccine when it's offered to you… 	GB	0.4874	Positive
   Hi Georgia. Sorry, the walk in is just for first doses, but you should be able to book… 	GB	-0.0387	Negative
 I live in the UK. The WHO issued emergency validation procedures for covid vaccinations, which now diff… 	GB	-0.3818	Negative
   I had COVID-19 &amp; recovered I now have antibodies I won’t  take experimental vaccine!	GB	0.0	Neutral
UK analysis finds two doses of AstraZeneca COVID-19 vaccine 85-90% effective 	GB	0.4767	Positive
A closely-watched survey of business activity has shown its best reading on record as a vaccine-driven reopening of… 	GB	0.6369	Positive
"   Here is the list of ingredients ""Information for UK recipients on Pfizer/BioN… "	GB	0.0	Neutral
