Tweets	Country	Compound	Analysis
   No mention of vaccine certificate so, yes, bonkers.	ES	0.3163	Positive
Australia urges over-50s to get jabbed as vaccine hesitancy is priming the country for disaster: Only 42% of Austra… 	ES	-0.7184	Negative
 Good article and spot on on Government action.  However it does not address the question of social r… 	ES	0.4404	Positive
India's COVID chaos puts Bhutan's vaccine success at risk. Although 80% of adults have received one dose, supply of… 	ES	-0.2732	Negative
Absolutely true. I am ashamed about how the world's left gives a royal fuck about free vaccine.Also, and it may be… 	ES	-0.1206	Negative
 | Daily Covid-19 vaccination figures in Catalonia1️⃣ | 2,653,094 given first dose as of today (33.9% of total p… 	ES	0.0	Neutral
 Yet to get first doze. Kun Vaccine ho Astrazenca?	ES	0.0	Neutral
 Nursing home residents, considered among the most vulnerable to #COVID19, appear to receive significant protectio… 	ES	-0.101	Negative
 You're right to go. He's a young bird. You can see the yellow color of the beak. A beautiful photo as… 	ES	0.5994	Positive
Catalan public health experiments with a return to night life. 300 participants in Sitges took Covid-19 tests befor… 	ES	0.0	Neutral
. Dr. Corbett convinces MSNBC town hall participant to get Covid vaccine   via 	ES	0.1779	Positive
  _INDIA But then you have the center claiming states have around 2 crores vaccine in spa… 	ES	0.0	Neutral
 _INDIA from 35 to 40 lakh per day . Now we are at 14 , why this shift .. lack of vaccine? Or hesistancy?	ES	-0.3939	Negative
Moderna: Eyes producing vaccine in Asia after Japan rejected AstraZeneca – Nikkei  	ES	-0.5106	Negative
Vaccine rollout a big shot in the arm to UK growth outlook – Reuters poll By   	ES	0.3818	Positive
Apparently pfizer vaccine makes ur boobs grow hhahaahhaha wtf	ES	-0.5859	Negative
#BTC  is considered as a virus for the banks. It is actually the vaccine for us. All about perspective.… 	ES	0.0	Neutral
Can you have alcohol after the Covid vaccine?Moderate drinking is unlikely to hurt your immune response to the dru… 	ES	-0.296	Negative
Received 1st dose of Pfizer covid vaccine. Next one in 3 weeks.	ES	0.0	Neutral
 im not taking the vaccine theres a chip in it	ES	0.0	Neutral
Heading Home for the Vaccine: One Expat’s Trans-Atlantic Journey  via  	ES	0.0	Neutral
Of 67 million vaccine doses administered through the WHO Covax program, over 65 million have been Oxford Uni-AstraZ… 	ES	0.0	Neutral
#aljazeera Navajo Nation outpaces wider US: 60 percent fully #vaccinated 	ES	0.0	Neutral
First dose of vaccine. I'm more than happy   #vaccination 🩹‍♀️ 	ES	0.6096	Positive
 This morning at 10 I got the second vaccine. I'm fine at the moment. Let's see what happens tomorr… 	ES	0.2023	Positive
 theres a chip in the vaccine we wont take it	ES	0.0	Neutral
At least 3 Indian states and 2 cities, including Pune, show signs of a vaccine effect, less infections and deaths a… 	ES	0.0	Neutral
anyone knows what’s the standard time frame for Pfizer’s vaccine 2nd dose?	ES	0.0	Neutral
TD Securities 2/2: We like another journey below 1.20, as any reflation slip-ups will favor a knee-jerk broad USD b… 	ES	0.7506	Positive
Here comes the Second Variant, diría PKD - UK Covid live: outbreaks up 63% in a week, Public Health England report… 	ES	0.0	Neutral
Pfizer Covid-19 vaccine more durable then thought at refrigerator temperatures. 	ES	0.0	Neutral
 A new vaccine candidate enters Phase 3! published safety and immunogenicity results of the Phase 2… 	ES	0.4753	Positive
not to mention that's a weak caseGates has long been pure evil, exhibit A is just in the last few months - going… 	ES	-0.8074	Negative
 wow man, you're now in a new league with that RTX :Oand btw, happy for you for your first vaccine!	ES	0.8313	Positive
 Thank you dear Lee. Now I'm waiting for the vaccine. Have a good Thursday. In the afternoon I return to… 	ES	0.7906	Positive
 | Daily Covid-19 vaccination figures in Catalonia1️⃣ | 2,597,372 given first dose as of today (33.64% of total… 	ES	0.0	Neutral
Good rundown on marketing Covid-19 vaccination in the US. It doesn't seem like Spain needs this. I don't know wheth… 	ES	0.1999	Positive
#Pfizer #COVID19 #vaccine can be stored in refrigerator for a month, U.S. says. 	ES	0.0	Neutral
With 39% having received a first dose of Covid-19 vaccine, Spain's cumulative 14 day incidence of Covid-19 cases ha… 	ES	0.0	Neutral
Spain will administer a 2nd dose of the Pfizer's Covid-19 vaccine to those under 60 who've received a 1st dose of t… 	ES	0.0	Neutral
_INDIA    _India   … 	ES	0.0	Neutral
“Robust vaccine coverage among residents and staff, together with the continued use of face masks and other infecti… 	ES	0.0	Neutral
"  In Catalonia, they don't hear anything except the ""didn't they do well with vaccine/Co… "	ES	-0.2057	Negative
"  Estos son los hechos sobre AZ:"" The UK's medicines safety regulator says there have be… "	ES	0.4215	Positive
#IfIDidntKnowBetterIdSay the vaccine is really a conspiracy hatched by Bill Gates to inject us all with 5G and brea… 	ES	-0.5709	Negative
 Absolutely - imagine there’s a direct correlation between a comeback and the vaccine rollout.	ES	0.0	Neutral
Anti-vaxxers don’t deserve coddling, theaters should require proof of vaccination—Sorry for not contorting myself t… 	ES	0.0	Neutral
#BREAKING Spanish authorities propose letting people with one AstraZeneca dose decide whether to get the second dos… 	ES	0.0	Neutral
 Good morning for you ☀️Good night for me I'm glad you haven't any side effects from the vaccin… 	ES	0.7096	Positive
Canada is putting women generals into some of its most senior military posts, including one to run logistics for th… 	ES	0.0	Neutral
Does he mean like the ones already in progress by Pfizer and moderna ???Is he just referring to the az vaccine ?… 	ES	0.7399	Positive
️ Catalan News in 100 seconds Under 60s who got fisrt AstraZeneca jab will now get Pfizer vaccine Sagrada Fa… 	ES	0.0	Neutral
Getting the Vaccine tomorrow... The one dose only jenssen one... I'm very happy about it!	ES	0.6468	Positive
We urgently need a plan to reach global herd immunity &amp; #EndThePandemic.  _Chigi … 	ES	0.0258	Positive
UK Covid vaccine booster trial launched, announces Matt Hancock  via 	ES	0.128	Positive
Mongolia, best vaccine diplomat ever!!2nd country,  after Israel,  more vaccinated IN THE WORLD. 	ES	0.6988	Positive
We urgently need a plan to reach global herd immunity &amp; #EndThePandemic.   … 	ES	0.0258	Positive
 Im not taking the vaccine you put a chip in it	ES	0.0	Neutral
Malawi has become the first African country to publicly burn thousands of Covid-19 vaccine doses — It received 102,… 	ES	0.0	Neutral
#BRI #VaccineDiplomacy (as distinct from #HealthDiplomacy)Also, the U.S. vaccine-only pandemic response means tha… 	ES	0.0	Neutral
The EU will now allow #vaccinated travelers from outside the EU to enter! Vaccine certificate for entry is still in… 	ES	0.2942	Positive
🧊 The #EMA (_News) has said that #Pfizer's #mRNA vaccine can be stored at 2-8ºC up to one month, instead of fi… 	ES	0.0	Neutral
🟠  published Phase 2 results for its DNA vaccine. It was well-tolerated and induced good humoral and c… 	ES	0.5423	Positive
COVID-19: Vaccine surge in coronavirus hotspots may not stop Indian variant spread, scientists warn England’s inept… 	ES	0.125	Positive
PollA governor has just mandated fines on schools if they ask children to wear masks while they still can't get a… 	ES	0.0	Neutral
