Tweets	Country	Compound	Analysis
 _One If people don’t want the vaccine that’s their choice but spreading ridiculous crap like that is unconscionable	GB	-0.5023	Negative
_NHS    No appointment necessary. COVID19 vaccine for #Norwich #NorwichCity… 	GB	-0.296	Negative
From picture: If you are 25 and over and would like your First COVID vaccination- please visit the Market Gates Vac… 	GB	0.5859	Positive
Oo my second vaccine has been pushed forwards its now Tuesday instead of next month.	GB	0.0	Neutral
The NHS vaccination bus is outside City Hall today until 3.30pm.If you are 40+ and haven't had your first Covid-… 	GB	0.0	Neutral
Covid restrictions may be needed for years to come - UEA experts 	GB	0.0	Neutral
_MBanks Can’t wait to get hold of my vaccine passport. #excited	GB	0.0	Neutral
The vaccine protects you and those around you. You can now book yours at a larger vaccination centre or pharmacy, o… 	GB	0.3182	Positive
  #AsthmaticsAtRisk the ONLY GROUP classed Clinically Vulnerable but not entitled to prior… 	GB	-0.3962	Negative
 _b   Chile, who eased lockdown before they'd even started vaccinating, and who a… 	GB	0.296	Positive
Closest vaccine appointment I could get was Harleston. Which is actually pretty wonderful as it's the Walne Home World.	GB	0.7845	Positive
Waiting at the Doctor's to be stuck with needles. (not vaccine). Than taking the cats to the vet for the same.#daysoff	GB	-0.25	Negative
they trying get woman to have the vaccine and using fear tactics how unusual its a good way of endernereing  our genetics	GB	-0.0772	Negative
"We really have become far too soft on people, sure you have the ""right"" not to have the vaccine, but don't expect t… "	GB	0.1655	Positive
Chance to get Covid jab as vaccine bus comes to Norwich 	GB	0.25	Positive
At my desk early, setting up for the day  as I am away for my second vaccine this morning. 	GB	0.0	Neutral
I really thought the vaccine that I had yesterday would of knocked me out like it did for the 1st so I get around 7… 	GB	0.3612	Positive
  As if onions are winning, I have never heard anything so socialist in my life. The… 	GB	0.5267	Positive
 #CovidIndia variant .This needs to be watched very closely. The #Government… 	GB	0.0	Neutral
 Second vaccine is ready... 	GB	0.0	Neutral
Me trying to get as much done before any possible vaccine side effects kick in. 	GB	0.0	Neutral
 Her point was about the border remaining open to allow the Indian variant in. Only guesswork from anyone… 	GB	0.2263	Positive
" 99.997% survival rate.Matt Hancock said ""once the elderly and the vulnerable have been vaccinated (… "	GB	-0.2263	Negative
_a_1 Is this ftom the virus or the vaccine?	GB	0.0	Neutral
 I've gone right off the idea of any sort of public socialising indoors. Outdoors less of a worry. I d… 	GB	-0.3862	Negative
MHRA, Medicines &amp; Healthcare productsRegulatory Agency, are the regulating anything? At least 10 times more advers… 	GB	0.0	Neutral
Nearly half of adults in the Clacton/Harwich area of Essex have now had both Covid jabs while the figure is less th… 	GB	0.0	Neutral
I agree with every word of this.Vaccine passports are abhorrent and they must not happen, otherwise kiss goodbye… 	GB	-0.6036	Negative
  Found it and backed you up  Just because so-and-so had their vaccine doesn't mean it'… 	GB	0.0258	Positive
“misleading...of...Matt Hancock to suggest that vaccine hesitancy is driving the rapid spread of the... so-called I… 	GB	-0.2263	Negative
Wonderful news about vaccine effectiveness!Seriously, give  a follow. Very insightful and knowledg… 	GB	0.6114	Positive
My dinner out was cancelled due to vaccine side effects from one of our crew  Swapping heels and beer for scampi a… 	GB	-0.25	Negative
 Just looked at my app , it doesn't have anything of the sort on jt! Just the covid vaccine status y… 	GB	0.2942	Positive
World first #covidvaccine booster study launches in UK - The Cov-Boost study, led will trial seven vaccines and wi… 	GB	0.0	Neutral
 quite glad really. Stood in the vaccine queue in Norwich Castle food court yesterday for 30 mins an… 	GB	0.5095	Positive
 If people refuse the COVID vaccine then surely they should be denied NHS if they then go on to contract it!!	GB	-0.4184	Negative
New Global Platform blog on vaccine ageism in Bulgaria 	GB	0.0	Neutral
 You too! I'm feeling the side effects of the Covid vaccine and it's cold wet and windy here	GB	0.2003	Positive
and finally there is todays number of vaccine shots: 1059061 	GB	0.0772	Positive
Jabba'd my butt*. .. ...... *This is my incredibly mature way of saying I had my first COVID vaccine today	GB	0.4754	Positive
Thanks to the always incredible NHS, I got my free Covid vaccine today. No one is safe until we all are - donate th… 	GB	0.7845	Positive
 _b  Whats concerning about it? It's good to take extra precautions, but for the moment… 	GB	0.2382	Positive
 Ooh I didn't get a date for the second vaccine. They said they'd contact me.	GB	0.0	Neutral
"""The Salk Institute study proves the assumption made by the vaccine industry, that the spike protein is inert and h… "	GB	0.0	Neutral
 Second vaccine soon but this last year all my anxiety dreams have been about crowds and being maskless.	GB	0.3612	Positive
2nd vaccine done  nice knowing I’m fully vaccinated. I am not looking forward to how it going to feel tomorrow!	GB	0.4753	Positive
 Has she thought of immigration crackdowns at vaccination clinics? She can increase the hostile environm… 	GB	-0.0772	Negative
  Do you travel abroad? Do you go on cruises? If so you won't be boarding a cruise ship without proof of vaccine.	GB	0.0	Neutral
 To all whose that deny having the vaccine because of the belief that they contain nanobots and chips. Consider… 	GB	-0.34	Negative
2nd jab booked, if folk don't know I think all over 50's can get their 2nd one 8 weeks after their first. Book here… 	GB	0.0	Neutral
 _ZOE Tim, regarding risk factors, #asthma is known to weaken the immune system, does that mean the… 	GB	-0.4019	Negative
 Sadly though it doesn't include those of us who have been on Vaccine Trials Matt.	GB	-0.4215	Negative
    A new variant which the vaccine protects against, as has been… 	GB	0.3182	Positive
Parts of Great Yarmouth, Ipswich and King's Lynn are way off the pace for some age groups 	GB	0.6249	Positive
   Couple of points for you. You can't heal the world, and nothing is actually… 	GB	0.0	Neutral
Today is a good day. Lincoln won the first semi final and I've booked my vaccine appointment.	GB	0.765	Positive
DO NOT COME FOR OUR KIDS! No to #vaccine trials on our children#Enough . Sign and share the hello It of this 	GB	0.0	Neutral
NHS vaccine passports are here – but will they be used beyond international travel? - The Conversation UK 	GB	0.0	Neutral
SM-102: Highly toxic, only approved for research - and in the mRNA vaccineWe looked at the moderna mRNA vaccine.… 	GB	0.4703	Positive
"  Prof Andrew Hayward said ""Many over 50s &amp; the Vulnerable with chronic conditions haven'… "	GB	-0.2263	Negative
Extreme vaccine ageism in Bulgaria. This is a cull of the oldest 	GB	0.0	Neutral
   But the worsed case is a mutation against which there is no effective vaccine… 	GB	0.2263	Positive
A Good Man Down: The Fatal Reality of Vaccine Adverse Reactions  via 	GB	-0.4767	Negative
Vaccine roll out extended to 34-year-olds 	GB	0.0	Neutral
 Because the vaccine is not 100% effective. Comprendez?	GB	-0.3724	Negative
 I never had any symptoms, and I'm back for the second part of the vaccine this Saturday!	GB	0.0	Neutral
 So why are most of the people in hospital in Bolton folk who could have had the vaccine, but didn't?	GB	0.0	Neutral
Heads up, the NHS vaccine site is open to 34+ now if you enter your details. Just booked both of mine.	GB	0.0	Neutral
 And how many have died within 28 of getting the vaccine? This was after all the metric used to count covid deaths.	GB	-0.5574	Negative
Have you had your Covid vaccine?	GB	0.0	Neutral
If a person was 'vaccine hesitant' before - this would be ample justification for them to become 'vaccine never in… 	GB	-0.25	Negative
 Got an emergency text this morning from Cromer Surgery to go get it from a Vaccine centre in N.Walsham… 	GB	-0.3818	Negative
Thousands to get third dose of Covid vaccine in clinical trial 	GB	0.0	Neutral
Got my second vaccine today. Don't feel any side effects at all. Get your jabs people when they are offered. Don't be a dick	GB	0.4023	Positive
 I've had the vaccine ,  and have to say my 5g signal is amazing 🤣🤣🤣🤣 seriously though , fully agree with you Lee 	GB	0.7089	Positive
Also my arm is not as sore as with the first one. Dunno if that’s anything to do with the vaccine, though. May just… 	GB	0.2755	Positive
DID EVERYONE FEEL SICK AFTER GETTING THEIR SECOND COVID VACCINE?? I JUST WANT TO KNOW IF I’LL BE ABLE TO GO OUT AND… 	GB	-0.5204	Negative
Anyone else starting to feel like the strategy is let’s see when people start to die then we will say oops yes look… 	GB	0.0772	Positive
 Double dosed and have my vaccine passport. Still keeping my distance and wearing a mask though	GB	0.0	Neutral
Just had my first covid 19 vaccine 	GB	0.0	Neutral
"""Vaccine passports.""""Not taking a vaccine is like drink-driving.""""People who refuse vaccines are selfish.""""We… "	GB	0.0772	Positive
_Kim Have a donut Julius   just got call from GP.  Got 2nd covid vaccine booked for 16:09 on Sat.  Bit pre… 	GB	0.0	Neutral
Here's a list of everything you can get for free with your vaccine card: Not only is this strategy boosting the vac… 	GB	0.6908	Positive
Thanks to  I got my #1stdose of #covid #Pzifer #vaccine today!	GB	0.4926	Positive
 The symptoms I’ve heard aren’t bad, just worrying. My nan and friend for example, both was in bed w… 	GB	-0.4019	Negative
Vaccine is an attempt to use serious scholarly research to reclaim the narrative around vaccination, as one of huma… 	GB	-0.0772	Negative
If you're offered the vaccine, make sure to get booked in as soon as possible.Protecting yourself means you'll pr… 	GB	0.3182	Positive
"Confusion on travel policy (people do not just travel for ""fun""), variants, lockdown ease, light systems, #COVID19… "	GB	0.0772	Positive
German vaccine tsar: everyone may need a third dose next year 	GB	0.0	Neutral
  Don't know any videos but a study came out at the end of last month showing big reducti… 	GB	0.0	Neutral
 1/2I believe the danger is not so much to the traveler but what they could carry back. The Indian varia… 	GB	-0.296	Negative
ArriveCAN uptake remains low as vaccine passports discussedMore:  12% of truck drive… 	GB	-0.2732	Negative
 From what I know of friends who work in offices - many companies are saying they don't have to go back… 	GB	0.4767	Positive
 Unfortunately, due to the vaccine propaganda I turned JHB off for the first time yesterday.	GB	-0.5267	Negative
  It's ok- theres a 'huge' % that have had the vaccine so everyone is safe!!! Move on	GB	0.7383	Positive
 Has the GP surgery given you proof he's registered? They should be able to provide a print out with… 	GB	0.0	Neutral
Mum had her first vaccine today ❤️	GB	0.0	Neutral
The front page of tomorrow's Eastern Daily Press: We must end the vaccine rate divide#TomorrowsPapersToday… 	GB	0.0	Neutral
  People: check your local and state laws on paid time off for vaccines/vaccine side effects. CA, Chica… 	GB	0.0	Neutral
 Why the hell would I get an untested #vaccine? For a disease which won’t harm me? 	GB	-0.8577	Negative
 Dear _MP if I got sick with covid, what treatment would the NHS offer me?Should I take… 	GB	-0.1779	Negative
Here is what every country’s vaccine passport should have, according to the UN  	GB	0.0	Neutral
Fantastic news that over 1 million people in Northern Ireland have now received at least one dose of the covid vac… 	GB	0.5574	Positive
There are calls for pregnant women to be prioritised for the vaccine, after studies showed that contracting Covid-1… 	GB	0.0	Neutral
   If!! According to the stats the take up is massive - as Hancock said, much… 	GB	0.0	Neutral
Concerns over divide in vaccine rates across region 	GB	0.0	Neutral
Safety data before a mass #vaccination campaign on children with an experimental #vaccine? Seems sensible to me - I… 	GB	0.4215	Positive
Don’t blame ordinary people who were a bit nervous about vaccine for #covid19 spreading again. It isn’t their fault… 	GB	-0.5423	Negative
[cn: pregnancy] My partner just got the text to book her vaccine &amp; I have to confess, it made me cry with relief.… 	GB	-0.4767	Negative
_Mectin56 U made a pro vaccine account to preach NWO to people online ? LMAO Bruv. how embarrassing	GB	0.4648	Positive
Second vaccine already booked ☺️	GB	0.0	Neutral
 _sf_writer _always  Deaths that have NOT been verified as being caused by the va… 	GB	0.0	Neutral
 I know a huge group who wouldn't hesitate to have the vaccine but, sadly, they're not eligible sin… 	GB	-0.3905	Negative
I'm finally booked in for my first COVID vaccine, eeeee! Never have I been so excited to have a needle in my arm.	GB	0.528	Positive
  Funny, I switched off Ferrari this morning. Can't listen to the vaccine crap any more.… 	GB	0.0772	Positive
Are you a young person who hasn’t been vaccinated yet but would like their vaccine? If so we’d love to speak to yo… 	GB	0.8877	Positive
 Hi, can you confirm now under 40s are able to book their vaccine appointments that an alternative to AZ w… 	GB	0.0	Neutral
   They have undergone the same tests required for regulation as any ot… 	GB	0.0	Neutral
 If they have the choice about taking the vaccine (which I support) then I expect not to be forced into loc… 	GB	0.357	Positive
Covid vaccine: 96% of Britons develop antibodies after one jab, study finds 	GB	0.0	Neutral
 No vaccine will stop everyone getting ill unfortunately , I heard the flu vaccine is only 60% effective,… 	GB	-0.8807	Negative
