Tweets	Country	Compound	Analysis
 Vaccine Administration Management uses #ServiceNow to help enterprises solve challenges to quickly vaccinate… 	ES	0.5859	Positive
"⚡️mRNA technology being used in #COVID19 vaccines is also being explored to treat #cancer.  ""We’re hopeful that w… "	ES	0.7184	Positive
It's safe to get the #COVID19 vaccine if you're pregnant, planning a pregnancy or breastfeeding.You'll be offered… 	GB	0.4404	Positive
Despite revelation by SPC that 32 million doses of #COVID19 vaccines ordered, health sector professionals &amp; the pri… 	GB	0.0	Neutral
._tx's #COVID19 vaccine could join  and _Group's jab as an option for adolescents after it… 	GB	0.296	Positive
Latest from , those aged between 36 and 37 have been invited to receive their #COVID19 vaccine. Making nearly… 	GB	0.0	Neutral
Radiologists,  warn of myocarditis in young adults after #COVID19 #vaccinations  	GB	-0.1027	Negative
Pfizer starts a study of co-administration of third 'booster dose' Covid-19 vaccine followed by pneumococcal vaccin… 	GB	0.0	Neutral
COVID-19 vaccine booked!  #COVID19 #vaccination	GB	0.0	Neutral
At our aesthetic medicine training delegates were asked to use hand sanitizer throughout the day and to cover their… 	GB	0.4939	Positive
Important information about working out after your jab.'Covid-19 vaccine: can you exercise after the coronavirus… 	GB	0.2023	Positive
#COVID19 VACCINE UPDATE: Daily figures on the total number of COVID-19 vaccine doses that have been given in the UK… 	GB	0.0772	Positive
#COVID19 Vaccine minister ‘cautiously optimistic’ about the prospect of lifting coronavirus restrictions on 21 J… 	GB	0.296	Positive
's latest fortnightly #COVID19 Evidence Update is out now!Get the latest #news, #guidance and… 	GB	0.0	Neutral
No need to book! Attend our walk-in AstraZenaca #COVID19 vaccine clinic at Chelmsford City Racecourse today, open… 	GB	-0.3595	Negative
RCOG spokesperson Dr Fatima Husain has been answering questions relating to the COVID-19 vaccine, pregnancy and fer… 	GB	0.0	Neutral
The World Economic Forum is now bullying parents into vaccinating their children against covid-19. Evil. 	GB	-0.8519	Negative
This will be an amazing #COVID19 vaccine event, featuring   Ajit Lalvani, Sarah Gilbert… 	GB	0.5859	Positive
US consumers are more willing than ever to engage with the #pharma industry amid the #COVID19 vaccine rollout, but… 	GB	0.34	Positive
#Moderna's #COVID19 vaccine was shown to be effective in adolescents aged 12-17 and showed no new or major safety p… 	GB	0.5719	Positive
Auto-immune response to Covid vaccine. The internet is flooded with similar tragic cases in young and old. Why has… 	GB	-0.4588	Negative
If you’re eligible to get your #covidvaccine and live in #Hounslow, head down to #Brentford Fountain Leisure Centre… 	GB	0.0	Neutral
